IP地址	端口	TLS	数据中心	地区	国际代码	国家	城市	网络延迟	下载速度MB/s
130.61.107.238	8443	TRUE	FRA	欧洲	DE	德国	法兰克福	193 ms	8.66
141.147.61.116	2053	TRUE	FRA	欧洲	DE	德国	法兰克福	273 ms	8.53
132.145.54.84	8443	TRUE	LHR	欧洲	GB	英国	伦敦	201 ms	8.41
141.147.61.116	8443	TRUE	FRA	欧洲	DE	德国	法兰克福	270 ms	8.34
89.168.83.143	8443	TRUE	FRA	欧洲	DE	德国	法兰克福	227 ms	7.64
158.178.153.80	2096	TRUE	AMS	欧洲	NL	荷兰	阿姆斯特丹	206 ms	6.66
164.152.26.70	2052	TRUE	ORD	北美洲	US	美国	芝加哥	242 ms	6.14
164.152.26.70	2086	TRUE	ORD	北美洲	US	美国	芝加哥	253 ms	6.04
143.47.243.144	8443	TRUE	LHR	欧洲	GB	英国	伦敦	188 ms	5.65
158.179.207.182	2053	TRUE	ARN	欧洲	SE	瑞典	斯德哥尔摩	228 ms	4.74
89.168.43.31	8443	TRUE	CDG	欧洲	FR	法国	巴黎	181 ms	4.73
158.178.206.197	8443	TRUE	CDG	欧洲	FR	法国	巴黎	165 ms	4.68
89.168.43.31	2053	TRUE	CDG	欧洲	FR	法国	巴黎	199 ms	4.48
158.101.169.13	2053	TRUE	FRA	欧洲	DE	德国	法兰克福	188 ms	4.47
158.178.206.197	2053	TRUE	CDG	欧洲	FR	法国	巴黎	199 ms	4.34
141.144.198.113	8443	TRUE	AMS	欧洲	NL	荷兰	阿姆斯特丹	226 ms	4.29
158.180.49.11	8443	TRUE	FRA	欧洲	DE	德国	法兰克福	199 ms	4.23
141.144.198.113	2053	TRUE	AMS	欧洲	NL	荷兰	阿姆斯特丹	199 ms	4.17
158.179.207.182	8443	TRUE	ARN	欧洲	SE	瑞典	斯德哥尔摩	227 ms	4.04
8.217.64.152	903	TRUE	HKG	亚太	HK	香港	香港	51 ms	4.01
158.101.199.249	8443	TRUE	AMS	欧洲	NL	荷兰	阿姆斯特丹	181 ms	3.96
129.151.198.3	2053	TRUE	ARN	欧洲	SE	瑞典	斯德哥尔摩	227 ms	3.8
141.147.85.167	8443	TRUE	LHR	欧洲	GB	英国	伦敦	231 ms	3.7
158.101.169.13	8443	TRUE	FRA	欧洲	DE	德国	法兰克福	198 ms	3.68
150.230.20.156	8443	TRUE	AMS	欧洲	NL	荷兰	阿姆斯特丹	176 ms	3.65
89.168.68.57	2053	TRUE	FRA	欧洲	DE	德国	法兰克福	199 ms	3.58
47.242.147.150	41010	TRUE	SIN	亚太	SG	新加坡	新加坡	97 ms	3.35
141.148.242.113	8443	TRUE	AMS	欧洲	NL	荷兰	阿姆斯特丹	203 ms	3.16
8.217.73.46	36003	TRUE	BOM	亚太	IN	印度	孟买	148 ms	3.11
168.138.50.249	443	TRUE	KIX	亚太	JP	日本	大阪	362 ms	2.96
150.230.20.156	2053	TRUE	AMS	欧洲	NL	荷兰	阿姆斯特丹	203 ms	2.95
89.168.112.118	8443	TRUE	FRA	欧洲	DE	德国	法兰克福	204 ms	2.45
132.145.54.84	2053	TRUE	LHR	欧洲	GB	英国	伦敦	229 ms	2.36
158.180.49.11	2053	TRUE	FRA	欧洲	DE	德国	法兰克福	198 ms	2.26
132.226.163.224	8443	TRUE	GRU	南美	BR	巴西	圣保罗	350 ms	2.26
47.243.95.157	11007	TRUE	SIN	亚太	SG	新加坡	新加坡	150 ms	2.04
158.178.149.73	443	TRUE	FRA	欧洲	DE	德国	法兰克福	276 ms	1.16
193.123.57.144	443	TRUE	FRA	欧洲	DE	德国	法兰克福	283 ms	0.78
146.235.59.153	2053	TRUE	GRU	南美	BR	巴西	圣保罗	360 ms	0.55
89.168.68.57	8443	TRUE	FRA	欧洲	DE	德国	法兰克福	198 ms	0.49
150.230.34.116	443	TRUE	SJC	北美洲	US	美国	圣何塞	260 ms	0.48
141.11.77.234	31149	TRUE	HKG	亚太	HK	香港	香港	248 ms	0.41
141.11.77.234	31173	TRUE	HKG	亚太	HK	香港	香港	230 ms	0.39
141.11.77.234	31191	TRUE	HKG	亚太	HK	香港	香港	233 ms	0.38
141.11.77.234	31126	TRUE	HKG	亚太	HK	香港	香港	230 ms	0.28
141.11.77.234	31177	TRUE	HKG	亚太	HK	香港	香港	230 ms	0.27
8.223.39.101	443	TRUE	HKG	亚太	HK	香港	香港	60 ms	0.13
213.218.254.218	59104	TRUE	NRT	亚太	JP	日本	东京	185 ms	0.03
